ID,translation_len,total_duration_translation,load_duration_translation,prompt_eval_count_translation,prompt_eval_duration_translation,eval_count_translation,eval_duration_translation,translation_time,configuration_len,total_duration_configuration,load_duration_configuration,prompt_eval_count_configuration,prompt_eval_duration_configuration,eval_count_configuration,eval_duration_configuration,configuration_time,number_of_objectives,Type
41,1559,3.444617411383333,5.36505e-06,787,2.0821833666666665,381,1.36237545,0:03:27,466,1.7919009515666666,4.6963e-06,595,1.5750018666666667,63,0.2168486,01:48.0,4,2
42,1856,3.35548476555,4.897283333333333e-06,785,2.0673948666666666,361,1.2880257166666667,0:03:21,953,2.2485161763,5.427433333333333e-06,575,1.5325632166666667,204,0.7158846833333333,02:15.0,4,2
43,1777,3.4114859865166665,5.704183333333334e-06,786,2.0758415,374,1.33558385,0:03:25,1709,2.8411900105,4.54715e-06,588,1.5504660666666668,364,1.2906699833333333,02:50.0,3,1
44,2313,4.02018782175,5.881483333333334e-06,787,2.0659105,540,1.9542109166666666,0:04:01,838,2.5541329012833334,4.640816666666666e-06,754,1.9733463833333333,162,0.58071775,02:33.0,9,3
45,2091,4.470628542766667,5.040983333333333e-06,791,2.0743543166666667,661,2.396218616666667,0:04:28,724,3.0478026441,4.5983e-06,875,2.3206891666666665,204,0.7270564,03:03.0,2,3
46,2532,4.43608873795,5.153216666666667e-06,788,2.0835146,650,2.3525194,0:04:26,1744,3.9098472589,4.529916666666666e-06,864,2.2748885666666667,454,1.63489545,03:55.0,3,3
47,1467,3.1761103758166667,5.0468e-06,788,2.0742452166666667,309,1.10181295,0:03:11,950,1.9525042898833334,4.3126e-06,523,1.3618619,168,0.5905935166666667,01:57.0,4,2
48,2368,4.1178909486,4.89375e-06,794,2.0820249,564,2.0358109333333334,0:04:07,1512,3.2795656733166667,4.40675e-06,778,2.0370306333333335,348,1.2424661,03:17.0,3,5
49,2511,4.083363782166667,"0,006056",787,2.069482266666667,559,2.0138065,0:04:05,2216,3.7397404712,4.554283333333333e-06,773,2.0200186166666665,480,1.7196621,03:44.0,2,2
50,4940,7.231947416566666,5.094833333333333e-06,788,2.0992504666666667,1397,5.1326316,0:07:14,4465,9.875549340533333,5.10685e-06,1619,4.385273,1453,5.490180233333334,09:53.0,6,1
51,2603,4.2393757180666665,5.00705e-06,797,2.0829532,597,2.1563655,0:04:14,2883,5.042018784233333,4.6618833333333335e-06,811,2.13976965,799,2.9021822,05:03.0,3,2
52,2771,4.745190874333334,4.837183333333333e-06,788,2.0898709,731,2.6552670833333334,0:04:45,2772,5.240071673016667,4.80335e-06,940,2.5223834333333333,730,2.7176140666666666,05:14.0,2,3
